fishID,fishName,fishID,experiment,prePost,half,largeMalePosition,number_transits,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant_1,latency_right_screen_1,latency_left_screen_1
fid2,daisy,fid2,mc,pre,p2,right,27,227.286,142.817,0.241,11.209,210.708,17.755,3.839,42.976,12.413,227.286,142.817,0.241
fid2,daisy,fid2,mc,post,p3,right,65,77.22,85.064,1.645,10.411,103.355,27.758,6.409,120.373,32.036,77.22,85.064,1.645
fid2,daisy,fid2,mc,pre,p3,left,19,0,0.253,127.093,6.338,151.299,20.763,0,116.951,4.802,300,0.253,127.093
fid20,daniela,fid20,mc,post,p1,none,56,1.077,11.4535,29.815,17.255,42.8855,41.855,62.2825,89.9565,41.461,1.077,11.4535,29.815
fid20,daniela,fid20,mc,pre,p1,none,58,8.873,76.974,27.309,22.647,19.89,28.0295,42.015,150.044,36.0525,8.873,76.974,27.309
fid20,daniela,fid20,mc,post,p2,left,39.5,120.1675,89.103,0.783,7.473,111.364,26.1915,11.711,127.8165,14.446,120.1675,89.103,0.783
fid20,daniela,fid20,mc,pre,p2,right,47,241.753,0.5635,190.283,8.893,24.393,9.081,6.852,206.6785,43.188,241.753,0.5635,190.283
fid20,daniela,fid20,mc,post,p3,right,53,241.141,1.309,147.646,15.4575,23.3505,23.7955,26.094,174.2045,34.882,241.141,1.309,147.646
fid20,daniela,fid20,mc,pre,p3,left,54,188.493,190.744,0.196,5.5215,181.722,75.317,5.7295,22.6035,7.478,188.493,190.744,0.196
fid21,adele,fid21,mc,post,p1,largeMale,55,9.387,0.023,11.056,18.676,58.454,41.441,27.431,128.227,34.629,9.387,0.023,11.056
fid21,none,fid21,mc,post,p1,none,56,26.7335,1.04,11.012,22.4425,50.455,46.8055,25.644,100.334,53.966,26.7335,1.04,11.012
fid21,adele,fid21,mc,pre,p1,none,1,0.023,0,0,0,0,0,299.786,0,0,0.023,300,300
fid21,adele,fid21,mc,post,p2,right,68,12.324,17.229,3.617,14.007,61.93,26.421,26.68,134.726,33.496,12.324,17.229,3.617
fid21,adele,fid21,mc,pre,p2,left,1,0.023,0,0,0,0,0,299.977,0,0,0.023,300,300
fid21,adele,fid21,mc,post,p3,left,35,165.57,197.222,0.339,12.08,176.213,22.164,23.117,45.454,20.041,165.57,197.222,0.339
fid21,adele,fid21,mc,pre,p3,right,1,0.023,0,0,0,0,0,298.977,0,0,0.023,300,300
fid22,bernadette,fid22,mc,post,p1,none,73,14.496,0.083,44.755,19.118,9.616,26.252,43.349,136.747,63.168,14.496,0.083,44.755
fid22,bernadette,fid22,mc,pre,p1,none,55,4.0445,0.1285,24.8965,9.341,10.426,12.5495,15.6825,223.985,27.811,4.0445,0.1285,24.8965
fid22,bernadette,fid22,mc,post,p2,left,33,7.489,0.023,19.032,1.869,4.003,5.073,15.946,247.953,24.862,7.489,0.023,19.032
fid22,bernadette,fid22,mc,pre,p2,right,50,0,0.3705,0,0,0,0,0,277.6725,21.0255,300,0.3705,300
fid22,bernadette,fid22,mc,post,p3,right,23,0,0.267,0,0,0,0,0,290.009,9.734,300,0.267,300
fid22,bernadette,fid22,mc,pre,p3,left,28,70.9765,0.5235,76.5385,2.3,5.472,2.406,4.2765,262.08,23.0405,70.9765,0.5235,76.5385
fid23,bess,fid23,mc,post,p1,none,33,0.747,7.9,12.491,2.705,133.013,15.12,136.707,6.938,4.804,0.747,7.9,12.491
fid23,bess,fid23,mc,pre,p1,none,63.5,11.317,162.0755,78.0205,8.072,126.5675,46.803,51.116,49.932,18.0495,11.317,162.0755,78.0205
fid23,bess,fid23,mc,post,p2,left,60,26.394,52.384,1.423,16.278,32.649,52.227,120.201,42.575,31.255,26.394,52.384,1.423
fid23,bess,fid23,mc,pre,p2,right,61,10.6255,0.0755,46.06,8.935,25.8015,17.4455,20.4605,202.6385,25.0045,10.6255,0.0755,46.06
fid23,bess,fid23,mc,post,p3,right,45,0.735,26.26,36.938,15.747,85.682,26.428,64.366,83.568,23.197,0.735,26.26,36.938
fid23,bess,fid23,mc,pre,p3,left,70,0.993,7.216,23.292,5.33,87.4725,48.8765,47.0655,78.2425,32.1265,0.993,7.216,23.292
fid24,ariana,fid24,mc,post,p1,none,29,32.113,48.262,63.814,5.167,5.1,50.61,51.47,169.894,17.692,32.113,48.262,63.814
fid24,ariana,fid24,mc,pre,p1,none,42,31.5155,78.632,61.1735,30.344,190.51,28.4285,25.6885,13.2505,10.9135,31.5155,78.632,61.1735
