filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,center,left screen,left side,plant,right screen,right side
mc_pre_fid15_p2_MARTINEZ_largeMale_right_chloe_INT.csv,15,MARTINEZ,p2,mc,fid15,right,pre,5.873999999999995,6.138000000000005,1.5030000000000427,0,276.61199999999997,9.540999999999997
mc_pre_fid15_p2_MOORE_largeMale_right_chloe_INT.csv,30,MOORE,p2,mc,fid15,right,pre,5.831999999999965,5.343000000000018,7.382999999999981,2.13900000000001,257.668,22.236000000000008
mc_pre_fid15_p3_MAHMOUD_largeMale_left_chloe_INT.csv,10,MAHMOUD,p3,mc,fid15,left,pre,4.8770000000000024,2.403000000000006,6.005999999999993,0,279.47,4.396000000000001
mc_pre_fid15_p3_MARRONE_largeMale_left_chloe_INT.csv,32,MARRONE,p3,mc,fid15,left,pre,4.269999999999996,1.8689999999999998,6.673000000000002,0,264.9309999999999,22.153000000000073
mc_pre_fid15_p3_MARTINEZ_largeMale_left_chloe_INT.csv,11,MARTINEZ,p3,mc,fid15,left,pre,4.003,2.6699999999999946,6.407000000000004,0,272.674,6.673000000000002
mc_pre_fid15_p3_MOORE_largeMale_left_chloe_INT.csv,30,MOORE,p3,mc,fid15,left,pre,4.271000000000001,1.6020000000000039,6.936,0,265.46700000000004,21.551999999999946
mc_pre_fid16_p1_MAHMOUD_largeMale_none_carla_LL.csv,84,MAHMOUD,p1,mc,fid16,none,pre,23.427999999999958,45.66200000000008,41.51999999999995,15.620000000000012,115.92300000000006,45.68999999999994
mc_pre_fid16_p1_MARRONE_largeMale_none_carla_LL.csv,79,MARRONE,p1,mc,fid16,none,pre,19.75500000000005,41.14499999999996,50.88099999999999,25.093999999999983,89.324,74.136
mc_pre_fid16_p1_MARTINEZ_largeMale_none_carla_LL.csv,74,MARTINEZ,p1,mc,fid16,none,pre,21.34800000000004,42.70999999999999,49.92399999999999,17.347999999999985,86.208,77.92899999999997
mc_pre_fid16_p1_MOORE_largeMale_none_carla_LL.csv,80,MOORE,p1,mc,fid16,none,pre,21.164000000000037,40.84399999999999,51.591,23.499999999999986,89.16299999999998,73.78899999999999
mc_pre_fid16_p2_MAHMOUD_largeMale_right_carla_LL.csv,28,MAHMOUD,p2,mc,fid16,right,pre,7.212,14.409,16.816000000000003,0,233.613,24.318000000000012
mc_pre_fid16_p2_MARRONE_largeMale_right_carla_LL.csv,26,MARRONE,p2,mc,fid16,right,pre,7.604999999999997,12.546999999999995,22.145000000000003,0,232.93099999999998,24.069000000000017
mc_pre_fid16_p2_MARTINEZ_largeMale_right_carla_LL.csv,26,MARTINEZ,p2,mc,fid16,right,pre,7.2080000000000055,15.747999999999998,17.886,0,230.529,26.925999999999988
mc_pre_fid16_p2_MOORE_largeMale_right_carla_LL.csv,26,MOORE,p2,mc,fid16,right,pre,7.475999999999999,14.425,20.017999999999997,0,231.95300000000003,25.09299999999999
mc_pre_fid16_p3_MAHMOUD_largeMale_left_carla_LL.csv,42,MAHMOUD,p3,mc,fid16,left,pre,19.682000000000006,16.58099999999996,16.686000000000064,6.333000000000037,208.478,32.428999999999945
mc_pre_fid16_p3_MARRONE_largeMale_left_carla_LL.csv,47,MARRONE,p3,mc,fid16,left,pre,20.488999999999997,13.881999999999977,19.049000000000007,8.63699999999999,202.062,36.78100000000002
mc_pre_fid16_p3_MARTINEZ_largeMale_left_carla_LL.csv,38,MARTINEZ,p3,mc,fid16,left,pre,15.652000000000008,15.747999999999962,13.086000000000013,6.13300000000001,199.40200000000002,46.97299999999998
