filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant,latency_right_screen,latency_left_screen
mc_post_fid12_p1_EGBULONU_largeMale_none_andrea_SS.csv,20,EGBULONU,p1,mc,fid12,none,post,2.148,171.387,83.964,17.615,6.14,23.623,207.093,6.937,36.444,2.148,171.387,83.964
mc_post_fid12_p1_ESTRELLADO_largeMale_none_andrea_SS.csv,35,ESTRELLADO,p1,mc,fid12,none,post,5.564,171.366,84.342,60.63,6.408,23.874,160.545,10.943,32.036,5.564,171.366,84.342
mc_post_fid12_p1_FER300NDES_largeMale_none_andrea_SS.csv,24,FER300NDES,p1,mc,fid12,none,post,0.781,171.051,83.732,17.483,6.273,23.725,208.255,11.645,31.764,0.781,171.051,83.732
mc_post_fid12_p1_Gadot_largeMale_none_andrea_SS.csv,30,Gadot,p1,mc,fid12,none,post,0.023,171.088,84.065,30.694,6.405,22.161,195.526,11.209,33.899,0.023,171.088,84.065
mc_post_fid12_p1_GAJWANI_largeMale_none_andrea_SS.csv,23,GAJWANI,p1,mc,fid12,none,post,6.997,171.428,151.409,31.749,5.338,24.557,188.114,6.14,37.105,6.997,171.428,151.409
mc_post_fid12_p2_EGBULONU_largeMale_right_andrea_SS.csv,17,EGBULONU,p2,mc,fid12,right,post,1.247,164.609,6.851,5.871,18.419,47.381,211.999,3.603,11.48,1.247,164.609,6.851
mc_post_fid12_p2_ESTRELLADO_largeMale_right_andrea_SS.csv,25,ESTRELLADO,p2,mc,fid12,right,post,2.093,162.75,6.898,19.238,19.754,47.781,197.043,5.608,8.411,2.093,162.75,6.898
mc_post_fid12_p2_FER300NDES_largeMale_right_andrea_SS.csv,18,FER300NDES,p2,mc,fid12,right,post,0.51,164.573,6.65,8.109,17.785,47.346,211.401,3.47,11.379,0.51,164.573,6.65
mc_post_fid12_p2_Gadot_largeMale_right_andrea_SS.csv,18,Gadot,p2,mc,fid12,right,post,0.023,164.876,6.85,16.55,19.221,46.442,202.816,3.472,11.476,0.023,164.876,6.85
mc_post_fid12_p2_GAJWANI_largeMale_right_andrea_SS.csv,18,GAJWANI,p2,mc,fid12,right,post,58.68,164.919,7.061,16.015,18.522,46.444,200.215,3.47,10.142,58.68,164.919,7.061
mc_post_fid12_p3_EGBULONU_largeMale_left_andrea_SS.csv,19,EGBULONU,p3,mc,fid12,left,post,2.739,0,13.016,3.87,257.992,18.047,17.352,0,0,2.739,300,13.016
mc_post_fid12_p3_ESTRELLADO_largeMale_left_andrea_SS.csv,24,ESTRELLADO,p3,mc,fid12,left,post,0.513,0,12.793,10.46,255.547,18.831,14.622,0,0,0.513,300,12.793
mc_post_fid12_p3_FER300NDES_largeMale_left_andrea_SS.csv,25,FER300NDES,p3,mc,fid12,left,post,0.87,0,12.347,1.869,251.189,24.317,21.755,0,0,0.87,300,12.347
mc_post_fid12_p3_Gadot_largeMale_left_andrea_SS.csv,16,Gadot,p3,mc,fid12,left,post,0.023,0,12.614,6.94,260.529,14.512,17.931,0,0,0.023,300,12.614
mc_post_fid12_p3_GAJWANI_largeMale_left_andrea_SS.csv,15,GAJWANI,p3,mc,fid12,left,post,274.821,0,12.595,5.874,261.088,12.756,11.904,0,0,274.821,300,12.595
mc_post_fid13_p1_EGBULONU_largeMale_none_ava_LL.csv,78,EGBULONU,p1,mc,fid13,none,post,10.442,2.701,20.318,13.883,79.142,50.15,45.885,58.328,49.911,10.442,2.701,20.318
mc_post_fid13_p1_ESTRELLADO_largeMale_none_ava_LL.csv,84,ESTRELLADO,p1,mc,fid13,none,post,10.62,2.075,19.96,46.374,79.105,46.459,21.877,61.934,42.176,10.62,2.075,19.96
mc_post_fid13_p1_FER300NDEs_largeMale_none_ava_LL.csv,75,FER300NDEs,p1,mc,fid13,none,post,9.341,0.398,19.818,17.318,75.969,53.326,45.813,63.024,44.14,9.341,0.398,19.818
mc_post_fid13_p1_Gadot_largeMale_none_ava_LL.csv,73,Gadot,p1,mc,fid13,none,post,10.44,0.023,20.049,28.138,81.945,49.913,30.696,64.068,45.217,10.44,0.023,20.049
mc_post_fid13_p1_GAJWANI_largeMale_none_ava_LL.csv,76,GAJWANI,p1,mc,fid13,none,post,10.017,2.543,43.417,22.578,78.218,50.95,39.361,59.824,46.491,10.017,2.543,43.417
mc_post_fid13_p2_EGBULONU_largeMale_right_ava_LL.csv,69,EGBULONU,p2,mc,fid13,right,post,11.536,3.529,14.74,19.213,89.092,61.234,20.822,58.06,51.579,11.536,3.529,14.74
mc_post_fid13_p2_ESTRELLADO_largeMale_right_ava_LL.csv,70,ESTRELLADO,p2,mc,fid13,right,post,268.205,6.376,13.051,45.923,99.601,48.34,2.668,56.058,45.034,268.205,6.376,13.051
mc_post_fid13_p2_FER300NDES_largeMale_right_ava_LL.csv,68,FER300NDES,p2,mc,fid13,right,post,10.336,3.23,14.207,35.473,92.998,55.19,10.412,58.565,47.228,10.336,3.23,14.207
mc_post_fid13_p2_Gadot_largeMale_right_ava_LL.csv,64,Gadot,p2,mc,fid13,right,post,267.293,3.83,13.973,41.107,98.5,49.792,3.737,61.66,42.959,267.293,3.83,13.973
mc_post_fid13_p2_GAJWANI_largeMale_right_ava_LL.csv,69,GAJWANI,p2,mc,fid13,right,post,59.996,3.673,14.619,35.505,94.212,54.959,8.008,58.455,46.717,59.996,3.673,14.619
mc_post_fid13_p3_EGBULONU_largeMale_left_ava_LL.csv,51,EGBULONU,p3,mc,fid13,left,post,189.217,197.76,0.225,6.139,169.247,49.641,29.106,9.076,36.566,189.217,197.76,0.225
mc_post_fid13_p3_ESTRELLADO_largeMale_left_ava_LL.csv,50,ESTRELLADO,p3,mc,fid13,left,post,191.699,199.339,1.907,19.343,164.073,53.048,19.083,13.993,28.291,191.699,199.339,1.907
mc_post_fid13_p3_FER300NDES_largeMale_left_ava_LL.csv,55,FER300NDES,p3,mc,fid13,left,post,238.538,197.593,0.294,11.754,165.137,52.509,24.689,8.578,36.433,238.538,197.593,0.294
mc_post_fid13_p3_Gadot_largeMale_left_ava_LL.csv,54,Gadot,p3,mc,fid13,left,post,239.467,197.825,0.023,16.684,172.976,45.647,19.484,9.61,35.504,239.467,197.825,0.023
mc_post_fid13_p3_GAJWANI_largeMale_left_ava_LL.csv,26,GAJWANI,p3,mc,fid13,left,post,239.477,197.668,1.039,14.269,194.767,21.516,22.461,9.352,36.596,239.477,197.668,1.039
mc_post_fid14_p1_EGBULONU_largeMale_none_delfina_LS.csv,30,EGBULONU,p1,mc,fid14,none,post,56.316,61.121,2.062,0,49.25,6.404,2.002,227.609,14.073,56.316,61.121,2.062
mc_post_fid14_p1_ESTRELLADO_largeMale_none_delfina_LS.csv,28,ESTRELLADO,p1,mc,fid14,none,post,56.795,61.332,2.341,1.336,48.576,6.412,1.868,227.729,13.074,56.795,61.332,2.341
mc_post_fid14_p1_FER300NDES_largeMale_none_delfina_LS.csv,28,FER300NDES,p1,mc,fid14,none,post,55.75,61.122,1.829,2.4,48.852,6.67,0,226.663,15.416,55.75,61.122,1.829
mc_post_fid14_p1_Gadot_largeMale_none_delfina_LS.csv,19,Gadot,p1,mc,fid14,none,post,56.516,61.055,0.023,0,49.935,6.558,2.137,232.806,8.541,56.516,61.055,0.023
mc_post_fid14_p1_GAJWANI_largeMale_none_delfina_LS.csv,22,GAJWANI,p1,mc,fid14,none,post,56.094,61.166,2.172,0,49.917,5.072,2.405,230.557,10.944,56.094,61.166,2.172
mc_post_fid14_p2_EGBULONU_largeMale_left_delfina_LS.csv,8,EGBULONU,p2,mc,fid14,left,post,247.148,0.501,250.352,0,48.848,2.67,1.334,245.312,1.335,247.148,0.501,250.352
mc_post_fid14_p2_ESTRELLADO_largeMale_left_delfina_LS.csv,10,ESTRELLADO,p2,mc,fid14,left,post,248.16,0.023,250.029,1.598,48.904,1.868,0.804,245.467,1.336,248.16,0.023,250.029
mc_post_fid14_p2_FER300NDES_largeMale_left_delfina_LS.csv,6,FER300NDES,p2,mc,fid14,left,post,0,0.213,249.819,1.335,49.348,2.536,0,244.834,1.568,300,0.213,249.819
mc_post_fid14_p2_Gadot_largeMale_left_delfina_LS.csv,8,Gadot,p2,mc,fid14,left,post,246.948,0.023,249.887,0,49.575,1.875,1.602,245.324,1.601,246.948,0.023,249.887
mc_post_fid14_p2_GAJWANI_largeMale_left_delfina_LS.csv,6,GAJWANI,p2,mc,fid14,left,post,247.261,5.15,249.928,0,50.072,1.6,1.067,241.042,1.069,247.261,5.15,249.928
mc_post_fid14_p3_EGBULONU_largeMale_right_delfina_LS.csv,74,EGBULONU,p3,mc,fid14,right,post,59.798,49.922,0.538,14.945,77.87,27.135,7.217,135.2,37.095,59.798,49.922,0.538
mc_post_fid14_p3_ESTRELLADO_largeMale_right_delfina_LS.csv,81,ESTRELLADO,p3,mc,fid14,right,post,60.876,49.8,0.023,24.017,77.273,26.17,3.204,135.546,33.767,60.876,49.8,0.023
mc_post_fid14_p3_FER300NDES_largeMale_right_delfina_LS.csv,77,FER300NDES,p3,mc,fid14,right,post,67.977,49.588,0.262,19.336,71.616,32.207,4.533,130.758,41.288,67.977,49.588,0.262
