experiment,fishID,half,code,prePost,largeMalePosition,fishName,treatment,totalTime,number_transits
mc,fid13,p1,right side,pre,none,ava,LL.csv,40.173499999999976,76
mc,fid13,p2,center,post,right,ava,LL.csv,35.505000000000024,69
mc,fid13,p2,center,pre,left,ava,LL.csv,24.176000000000002,93.5
mc,fid13,p2,left screen,post,right,ava,LL.csv,94.21200000000002,69
mc,fid13,p2,left screen,pre,left,ava,LL.csv,47.01099999999999,93.5
mc,fid13,p2,left side,post,right,ava,LL.csv,54.95899999999998,69
mc,fid13,p2,left side,pre,left,ava,LL.csv,34.5315,93.5
mc,fid13,p2,plant,post,right,ava,LL.csv,8.007999999999967,69
mc,fid13,p2,plant,pre,left,ava,LL.csv,3.8725000000000023,93.5
mc,fid13,p2,right screen,post,right,ava,LL.csv,58.45499999999998,69
mc,fid13,p2,right screen,pre,left,ava,LL.csv,142.256,93.5
mc,fid13,p2,right side,post,right,ava,LL.csv,46.71700000000003,69
mc,fid13,p2,right side,pre,left,ava,LL.csv,46.929,93.5
mc,fid13,p3,center,post,left,ava,LL.csv,14.26900000000009,51
mc,fid13,p3,center,pre,right,ava,LL.csv,12.40500000000001,56
mc,fid13,p3,left screen,post,left,ava,LL.csv,169.24699999999999,51
mc,fid13,p3,left screen,pre,right,ava,LL.csv,107.834,56
mc,fid13,p3,left side,post,left,ava,LL.csv,49.641000000000055,51
mc,fid13,p3,left side,pre,right,ava,LL.csv,40.299000000000014,56
mc,fid13,p3,plant,post,left,ava,LL.csv,22.460999999999984,51
mc,fid13,p3,plant,pre,right,ava,LL.csv,1.068000000000012,61
mc,fid13,p3,right screen,post,left,ava,LL.csv,9.351999999999975,51
mc,fid13,p3,right screen,pre,right,ava,LL.csv,114.82399999999996,56
mc,fid13,p3,right side,post,left,ava,LL.csv,36.43300000000002,51
mc,fid13,p3,right side,pre,right,ava,LL.csv,21.289499999999983,56
mc,fid14,p1,center,post,none,delfina,LS.csv,1.868000000000002,28
mc,fid14,p1,center,pre,none,delfina,LS.csv,29.370999999999995,84.5
mc,fid14,p1,left screen,post,none,delfina,LS.csv,49.25,28
mc,fid14,p1,left screen,pre,none,delfina,LS.csv,52.85799999999999,84.5
