filename,number_transits,code,totalTime,experiment,fishID,fishName,treatment,half,scorer,largeMalePosition,prePost
mc_post_fid1_p3_BAO_largeMale_left_barbie_LL.csv,58,right screen,204.05999999999997,mc,fid1,barbie,LL.csv,p3,BAO,left,post
mc_post_fid1_p3_BAO_largeMale_left_barbie_LL.csv,58,right side,44.88000000000004,mc,fid1,barbie,LL.csv,p3,BAO,left,post
mc_post_fid1_p3_cornish_largeMale_left_barbie_LL.csv,37,center,5.333000000000027,mc,fid1,barbie,LL.csv,p3,cornish,left,post
mc_post_fid1_p3_cornish_largeMale_left_barbie_LL.csv,37,left screen,11.476999999999975,mc,fid1,barbie,LL.csv,p3,cornish,left,post
mc_post_fid1_p3_cornish_largeMale_left_barbie_LL.csv,37,left side,16.823000000000036,mc,fid1,barbie,LL.csv,p3,cornish,left,post
mc_post_fid1_p3_cornish_largeMale_left_barbie_LL.csv,37,plant,15.75200000000001,mc,fid1,barbie,LL.csv,p3,cornish,left,post
mc_post_fid1_p3_cornish_largeMale_left_barbie_LL.csv,37,right screen,216.22099999999998,mc,fid1,barbie,LL.csv,p3,cornish,left,post
mc_post_fid1_p3_cornish_largeMale_left_barbie_LL.csv,37,right side,33.107999999999976,mc,fid1,barbie,LL.csv,p3,cornish,left,post
mc_post_fid1_p3_CUI_largeMale_left_barbie_LL.csv,34,center,7.210000000000065,mc,fid1,barbie,LL.csv,p3,CUI,left,post
mc_post_fid1_p3_CUI_largeMale_left_barbie_LL.csv,34,left screen,8.271999999999991,mc,fid1,barbie,LL.csv,p3,CUI,left,post
mc_post_fid1_p3_CUI_largeMale_left_barbie_LL.csv,34,left side,23.247999999999934,mc,fid1,barbie,LL.csv,p3,CUI,left,post
mc_post_fid1_p3_CUI_largeMale_left_barbie_LL.csv,34,plant,9.88500000000002,mc,fid1,barbie,LL.csv,p3,CUI,left,post
mc_post_fid1_p3_CUI_largeMale_left_barbie_LL.csv,34,right screen,215.19799999999995,mc,fid1,barbie,LL.csv,p3,CUI,left,post
mc_post_fid1_p3_CUI_largeMale_left_barbie_LL.csv,34,right side,34.54600000000005,mc,fid1,barbie,LL.csv,p3,CUI,left,post
mc_post_fid10_p1_ADAMS_largeMale_none_alyssa_INT.csv,56,center,26.782000000000018,mc,fid10,alyssa,INT.csv,p1,ADAMS,none,post
mc_post_fid10_p1_ADAMS_largeMale_none_alyssa_INT.csv,56,left screen,140.94100000000003,mc,fid10,alyssa,INT.csv,p1,ADAMS,none,post
mc_post_fid10_p1_ADAMS_largeMale_none_alyssa_INT.csv,56,left side,38.70899999999996,mc,fid10,alyssa,INT.csv,p1,ADAMS,none,post
mc_post_fid10_p1_ADAMS_largeMale_none_alyssa_INT.csv,56,plant,27.814000000000004,mc,fid10,alyssa,INT.csv,p1,ADAMS,none,post
mc_post_fid10_p1_ADAMS_largeMale_none_alyssa_INT.csv,56,right screen,38.43499999999994,mc,fid10,alyssa,INT.csv,p1,ADAMS,none,post
